epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.327,1.80904,3.78729,0.02025,0.42981,0.38363,0.39396,0.16835,1.66165,3.27793,0.02002,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034
2,232.511,1.66589,2.40483,0.01789,0.58262,0.45789,0.47125,0.19616,1.89972,2.2926,0.02402,0.0197337,0.00657791,0.0197337,0.00657791,0.0197337,0.00657791,0.0197337,0.00657791
3,337.081,1.72999,1.96506,0.01896,0.38852,0.37054,0.32288,0.12784,2.06317,2.77603,0.02749,0.0293384,0.00977947,0.0293384,0.00977947,0.0293384,0.00977947,0.0293384,0.00977947
4,441.044,1.80337,1.85683,0.02013,0.49093,0.48488,0.45474,0.17979,2.04017,1.97991,0.028,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,544.744,1.75903,1.71945,0.01947,0.56893,0.53696,0.55185,0.2405,1.99441,1.50452,0.02614,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,650.519,1.75506,1.62814,0.01917,0.45925,0.39901,0.35859,0.16142,2.09311,2.3186,0.02762,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,756.494,1.72301,1.56744,0.01893,0.54387,0.45665,0.45525,0.1979,1.95172,1.85705,0.02511,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,861.125,1.71579,1.50151,0.01883,0.73403,0.54295,0.62624,0.29462,1.89589,1.47188,0.02471,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,965.803,1.68845,1.43639,0.01843,0.72238,0.61098,0.6811,0.33301,1.78311,1.23738,0.02277,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1070.06,1.67212,1.40125,0.01808,0.72071,0.63906,0.69309,0.34968,1.78032,1.25237,0.02235,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1174.22,1.66646,1.3686,0.01799,0.69676,0.55043,0.58336,0.28723,1.80742,1.63072,0.02357,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1280.2,1.63813,1.35347,0.01772,0.8205,0.68584,0.76074,0.37862,1.75734,1.1146,0.02199,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1383.18,1.62731,1.31869,0.01757,0.78655,0.66496,0.74526,0.35704,1.72597,1.0711,0.02121,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1487.02,1.62894,1.28079,0.01734,0.76923,0.70148,0.75252,0.38521,1.75102,1.01467,0.02209,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1592.06,1.6084,1.26113,0.0172,0.72354,0.6096,0.66329,0.32833,1.82868,1.30519,0.02372,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1697.13,1.60016,1.23204,0.01702,0.79781,0.72213,0.77706,0.41278,1.74312,0.90653,0.02181,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1802.57,1.59629,1.21726,0.0171,0.77561,0.64543,0.71074,0.36659,1.80213,1.33167,0.023,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
