epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6825,1.78882,3.79828,0.01986,0.74142,0.31313,0.35485,0.13912,1.61807,3.856,0.01907,0.000470981,0.000470981,0.000470981
2,140.673,1.64739,2.67952,0.01808,0.39461,0.33403,0.32342,0.14363,1.8163,2.54868,0.02324,0.000928558,0.000928558,0.000928558
3,199.055,1.72159,2.18675,0.01925,0.48761,0.41852,0.40444,0.16129,1.93231,2.31927,0.02551,0.00136727,0.00136727,0.00136727
4,256.324,1.71315,1.99287,0.01922,0.62447,0.46827,0.52058,0.22282,1.97579,1.71697,0.02588,0.00134412,0.00134412,0.00134412
5,313.845,1.7262,1.8601,0.01943,0.53334,0.54123,0.55629,0.23761,1.86444,1.6284,0.02416,0.00131582,0.00131582,0.00131582
6,371.619,1.69934,1.76965,0.01924,0.57562,0.56199,0.57766,0.25821,1.77621,1.56405,0.02255,0.00128753,0.00128753,0.00128753
7,429.668,1.67136,1.67394,0.01868,0.65686,0.56296,0.61214,0.28158,1.87739,1.63016,0.02363,0.00125923,0.00125923,0.00125923
8,487.757,1.65256,1.61736,0.01871,0.67525,0.63924,0.68056,0.32861,1.79301,1.37391,0.0224,0.00123094,0.00123094,0.00123094
9,546.57,1.66445,1.57037,0.01845,0.71326,0.64794,0.69426,0.33472,1.75283,1.35514,0.02278,0.00120265,0.00120265,0.00120265
10,604.772,1.64484,1.50681,0.01816,0.74034,0.66551,0.71738,0.36616,1.69159,1.26923,0.02099,0.00117435,0.00117435,0.00117435
11,662.813,1.63593,1.48536,0.01811,0.72126,0.63364,0.68878,0.34119,1.75417,1.31114,0.02217,0.00114606,0.00114606,0.00114606
12,719.977,1.62805,1.464,0.01802,0.74796,0.65916,0.73289,0.37013,1.72187,1.18749,0.02108,0.00111776,0.00111776,0.00111776
13,777.492,1.6144,1.41901,0.01763,0.74431,0.67697,0.73779,0.38412,1.68846,1.16268,0.0207,0.00108947,0.00108947,0.00108947
14,834.931,1.62338,1.38815,0.01759,0.77597,0.68963,0.73481,0.35824,1.75823,1.15462,0.02175,0.00106118,0.00106118,0.00106118
15,892.312,1.59527,1.3733,0.01764,0.76632,0.67318,0.74292,0.37889,1.69154,1.10351,0.02101,0.00103288,0.00103288,0.00103288
16,950.052,1.58828,1.31856,0.01726,0.80186,0.71479,0.7742,0.40676,1.70877,1.05815,0.02069,0.00100459,0.00100459,0.00100459
17,1008.46,1.58251,1.29323,0.0173,0.81929,0.7131,0.79315,0.42237,1.69853,1.00735,0.02099,0.000976293,0.000976293,0.000976293
18,1066.83,1.56228,1.26543,0.01697,0.81001,0.73412,0.80275,0.42483,1.68618,0.9907,0.02079,0.000947999,0.000947999,0.000947999
19,1124.72,1.55428,1.26398,0.01665,0.84186,0.7013,0.79494,0.40297,1.70248,1.02734,0.02092,0.000919704,0.000919704,0.000919704
20,1180.88,1.55324,1.23792,0.0169,0.79241,0.75643,0.80223,0.4417,1.64804,0.95162,0.02037,0.00089141,0.00089141,0.00089141
21,1238.67,1.53522,1.20819,0.01679,0.80519,0.72646,0.80345,0.41298,1.70377,0.9953,0.02049,0.000863116,0.000863116,0.000863116
22,1299.55,1.52258,1.17158,0.0163,0.83145,0.7505,0.79893,0.41571,1.69497,0.93717,0.02043,0.000834822,0.000834822,0.000834822
23,1360.04,1.53909,1.17491,0.01624,0.83688,0.70996,0.80147,0.43019,1.68559,0.94926,0.02065,0.000806528,0.000806528,0.000806528
24,1419.41,1.52436,1.1601,0.0163,0.79323,0.76051,0.79523,0.42257,1.6724,0.90313,0.02023,0.000778233,0.000778233,0.000778233
25,1478.56,1.51193,1.13148,0.016,0.83986,0.742,0.81767,0.42336,1.64,0.92493,0.01929,0.000749939,0.000749939,0.000749939
26,1536.26,1.48597,1.11104,0.01592,0.82739,0.76658,0.8309,0.46334,1.59372,0.88327,0.01874,0.000721645,0.000721645,0.000721645
27,1595.24,1.48257,1.10922,0.0159,0.83727,0.78962,0.83359,0.46235,1.64609,0.87656,0.01946,0.000693351,0.000693351,0.000693351
28,1654.2,1.48337,1.1029,0.01561,0.82827,0.78902,0.83805,0.4652,1.59655,0.84902,0.01883,0.000665057,0.000665057,0.000665057
29,1713.92,1.46888,1.08089,0.01553,0.84537,0.77658,0.84697,0.46332,1.58942,0.84518,0.01878,0.000636762,0.000636762,0.000636762
30,1773.1,1.47073,1.05331,0.01543,0.82592,0.79147,0.84337,0.46038,1.61207,0.87453,0.01894,0.000608468,0.000608468,0.000608468
31,1832.64,1.44989,1.03311,0.01536,0.84634,0.7833,0.83638,0.46749,1.5885,0.7972,0.01855,0.000580174,0.000580174,0.000580174
32,1892.73,1.44425,1.02524,0.01527,0.8434,0.82005,0.85669,0.46239,1.61639,0.80726,0.01898,0.00055188,0.00055188,0.00055188
33,1952.65,1.44863,1.01219,0.01527,0.82832,0.79336,0.85529,0.46741,1.58986,0.78232,0.01849,0.000523586,0.000523586,0.000523586
34,2011.92,1.42078,0.99901,0.015,0.84985,0.78941,0.85073,0.48862,1.58103,0.80649,0.01828,0.000495291,0.000495291,0.000495291
35,2070.34,1.43764,0.99014,0.01478,0.83762,0.82146,0.84926,0.46795,1.57565,0.79234,0.01843,0.000466997,0.000466997,0.000466997
36,2128.78,1.40597,0.98989,0.01483,0.83529,0.82174,0.8625,0.49135,1.55213,0.77338,0.01814,0.000438703,0.000438703,0.000438703
37,2188.18,1.3879,0.97219,0.0145,0.81663,0.83371,0.86037,0.49511,1.56756,0.7867,0.01797,0.000410409,0.000410409,0.000410409
38,2247.73,1.39185,0.95956,0.01454,0.82839,0.82428,0.85005,0.49103,1.54827,0.74938,0.01781,0.000382115,0.000382115,0.000382115
