epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.4715,1.84601,2.65563,1.5574,0.71958,0.27564,0.30306,0.12772,1.75452,2.38452,1.48024,0.0099115,0.00330383,0.0099115,0.00330383,0.0099115,0.00330383,0.0099115,0.00330383
2,192.009,1.66866,1.82684,1.41808,0.52246,0.38893,0.39859,0.16407,1.92334,2.20433,1.59731,0.0197144,0.00657146,0.0197144,0.00657146,0.0197144,0.00657146,0.0197144,0.00657146
3,288.223,1.72343,1.73596,1.43649,0.15372,0.38015,0.11984,0.0461,2.38581,4.40414,2.41796,0.0293193,0.00977309,0.0293193,0.00977309,0.0293193,0.00977309,0.0293193,0.00977309
4,382.067,1.75802,1.73514,1.49128,0.33242,0.35417,0.27148,0.10185,2.12363,2.50471,1.8454,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,474.555,1.70615,1.60658,1.4605,0.52494,0.51142,0.49134,0.2194,1.88096,1.62709,1.58175,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,567.848,1.6704,1.52499,1.43879,0.36192,0.31052,0.23995,0.08949,2.14068,2.60095,1.76909,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,660.772,1.6462,1.46359,1.4156,0.59336,0.53015,0.57918,0.25075,1.82749,1.5112,1.53542,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,753.75,1.60626,1.41106,1.39885,0.63286,0.53957,0.57961,0.26414,1.75364,1.4927,1.47542,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,846.469,1.59272,1.36486,1.39207,0.60454,0.45175,0.47465,0.21672,1.88538,1.97696,1.61555,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,939.037,1.56574,1.31071,1.37235,0.69964,0.64088,0.6955,0.36237,1.62575,1.24183,1.39645,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1032.98,1.55016,1.26662,1.3563,0.74137,0.63317,0.68886,0.34475,1.6811,1.37308,1.44598,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1124.86,1.53803,1.24598,1.34861,0.70859,0.66038,0.7109,0.36052,1.61608,1.18296,1.38765,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1217.09,1.51931,1.22577,1.33911,0.72955,0.65521,0.71746,0.3654,1.63697,1.20433,1.40171,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1309.27,1.5106,1.19405,1.32865,0.75656,0.69906,0.76076,0.39145,1.60968,1.11423,1.36099,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1402.11,1.49652,1.18129,1.32347,0.63718,0.61502,0.62802,0.32962,1.67614,1.44452,1.46107,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1494.2,1.4824,1.15201,1.31108,0.73058,0.69568,0.74607,0.38872,1.59655,1.10292,1.37248,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1585.97,1.47428,1.14305,1.30238,0.74705,0.69074,0.74551,0.39628,1.57283,1.08871,1.35384,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1677.97,1.46593,1.11819,1.30184,0.79332,0.73513,0.78368,0.429,1.54741,1.01548,1.31394,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1769,1.45877,1.10416,1.29401,0.75877,0.6989,0.75933,0.41278,1.56711,1.09535,1.35305,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1860.47,1.444,1.08866,1.28331,0.80157,0.7446,0.7942,0.42439,1.57785,1.00896,1.35124,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1953.02,1.43845,1.08437,1.28838,0.76175,0.73311,0.79084,0.4212,1.54178,1.01286,1.32032,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2044.27,1.43265,1.07165,1.27999,0.7791,0.68361,0.74902,0.38536,1.61574,1.13008,1.35087,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
